,Company,# Laid Off,%,Stage,Date Added,Ticker
3431,Thinkific,100.0,20%,Post-IPO,3/29/2022,THNC.TO
3434,Storytel,100.0,10%,Post-IPO,5/17/2022,DST.F
364,Apple,100.0,,Post-IPO,8/28/2024,AAPL
1823,HP,100.0,,Post-IPO,2/19/2023,HP
76,Amazon,100.0,,Post-IPO,5/15/2025,AMZN
1634,Amplitude,99.0,13%,Post-IPO,4/5/2023,AMPL
100,AppLovin,97.0,,Post-IPO,4/18/2025,APP
1150,BlackLine,95.0,5%,Post-IPO,8/24/2023,BL
2274,Edgio,95.0,10%,Post-IPO,12/14/2022,EGIOQ
59,Playtika,90.0,,Post-IPO,6/10/2025,PLTK
138,Digimarc,90.0,40%,Post-IPO,3/4/2025,DMRC
3887,Domo,90.0,10%,Post-IPO,4/10/2020,DOMO
2666,Salesforce,90.0,,Post-IPO,10/13/2022,CRM
2263,Freshworks,90.0,2%,Post-IPO,12/15/2022,FRSH
1445,Outbrain,90.0,10%,Post-IPO,6/1/2023,852.BE
195,AppLovin,89.0,,Post-IPO,4/18/2025,APP
466,PayPal,85.0,,Post-IPO,6/23/2024,PYPL
3585,Funding Circle,85.0,,Post-IPO,7/9/2020,FCA.F
1386,Qualcomm,84.0,,Post-IPO,7/19/2023,QCOM
3352,PayPal,83.0,,Post-IPO,5/25/2022,PYPL
1398,Olo,81.0,11%,Post-IPO,6/14/2023,OLO
1283,Amazon,80.0,,Post-IPO,7/14/2023,AMZN
1284,AudioCodes,80.0,6%,Post-IPO,7/16/2023,AUDC
1775,Eventbrite,80.0,8%,Post-IPO,2/28/2023,EB
674,Storytel,80.0,13%,Post-IPO,2/16/2024,DST.F
755,Storytel,80.0,13%,Post-IPO,1/24/2024,DST.F
636,Edgio,80.0,10%,Post-IPO,3/7/2024,EGIOQ
1516,AudioCodes,80.0,6%,Post-IPO,5/9/2023,AUDC
1407,Chegg,80.0,4%,Post-IPO,6/13/2023,CHGG
3807,Casper,78.0,21%,Post-IPO,4/21/2020,CSPR-USD
4065,Mogo,78.0,30%,Post-IPO,4/3/2020,MOGO
2172,Thinkific,76.0,19%,Post-IPO,1/10/2023,THNC.TO
1412,23andMe,75.0,9%,Post-IPO,6/9/2023,MEHCQ
50,Google,75.0,,Post-IPO,6/25/2025,GOOG
1782,Palantir,75.0,2%,Post-IPO,2/27/2023,PLTR
2220,Kaltura,75.0,11%,Post-IPO,1/5/2023,KLTR
1093,Google,75.0,,Post-IPO,9/13/2023,GOOG
179,TripAdvisor,75.0,,Post-IPO,2/5/2025,TRIP
1196,23andMe,71.0,11%,Post-IPO,8/8/2023,MEHCQ
2801,Shopify,70.0,,Post-IPO,9/1/2022,SHOP
859,Arm Holdings,70.0,,Post-IPO,12/19/2023,ARM
985, F-Secure ,70.0,,Post-IPO,10/26/2023,3I6.F
3422,Goodfood,70.0,,Post-IPO,8/11/2022,76O.BE
476,Satellogic,70.0,30%,Post-IPO,6/18/2024,SATL
3165,Banxa,70.0,30%,Post-IPO,6/27/2022,BNXA.V
147,Ibotta,70.0,8%,Post-IPO,2/24/2025,IBTA
2747,Acast,70.0,15%,Post-IPO,9/15/2022,ACAST.ST
3261,Boozt,70.0,5%,Post-IPO,7/24/2022,BOK.F
3361,Skillz,70.0,10%,Post-IPO,5/21/2022,SKLZ
13,Kaltura,70.0,10%,Post-IPO,8/9/2025,KLTR
62,Hims & Hers,68.0,4%,Post-IPO,6/5/2025,HIMS
14,Nextdoor,67.0,12%,Post-IPO,8/18/2025,NXDR
970,Beyond Meat,65.0,8%,Post-IPO,11/6/2023,BYND
318,AppLovin,65.0,,Post-IPO,4/18/2025,APP
131,LiveRamp,65.0,5%,Post-IPO,3/7/2025,RAMP
694,Otovo,65.0,15%,Post-IPO,2/19/2024,89K.F
3581,Yelp,63.0,,Post-IPO,7/13/2020,YELP
2910,Warby Parker,63.0,,Post-IPO,8/9/2022,WRBY
2062,CS Disco,62.0,9%,Post-IPO,1/20/2023,LAW
584,Intel,62.0,,Post-IPO,4/11/2024,INTC
1480,AppFolio,62.0,,Post-IPO,5/23/2023,APPF
1285,Tempo Automation,62.0,,Post-IPO,7/17/2023,TMPOQ
382,AppLovin,61.0,,Post-IPO,9/2/2024,APP
2784,Uber,60.0,,Post-IPO,9/8/2022,UBER
660,Affirm,60.0,,Post-IPO,2/21/2024,AFRM
1512,Similarweb,60.0,6%,Post-IPO,5/11/2023,63X.MU
3026,Lyft,60.0,2%,Post-IPO,7/20/2022,LYFT
1473,Western Digital,60.0,7%,Post-IPO,6/2/2023,WDC
727,Innoviz,60.0,13%,Post-IPO,2/1/2024,INVZ
2992,Fiverr,60.0,8%,Post-IPO,7/26/2022,FVRR
1941,VerticalScope,60.0,22%,Post-IPO,2/1/2023,7E9.F
238,Booking Holdings,60.0,,Post-IPO,12/7/2024,BKNG
2516,Coinbase,60.0,,Post-IPO,11/10/2022,COIN
2305,TechTarget,60.0,5%,Post-IPO,12/10/2022,TTGT
1616,Medtronic,59.0,,Post-IPO,4/13/2023,MDT
304,AppLovin,58.0,,Post-IPO,4/18/2025,APP
3119,Canoo,58.0,6%,Post-IPO,7/1/2022,GOEV
180,Intel,58.0,,Post-IPO,2/21/2025,INTC
526,Google,57.0,,Post-IPO,5/11/2024,GOOG
2654,Leafly,56.0,21%,Post-IPO,10/19/2022,LFLY
2146,Definitive Healthcare,55.0,6%,Post-IPO,1/12/2023,DH
1464,DHI Group,53.0,10%,Post-IPO,6/6/2023,DHX
3408,Lemonade,52.0,,Post-IPO,5/27/2022,LMND
3198,TaskUs,52.0,0%,Post-IPO,6/21/2022,TASK
2501,Cardlytics,51.0,,Post-IPO,11/14/2022,CDLX
1298,Freightos,50.0,13%,Post-IPO,7/12/2023,CRGO
1268,Inspirato,50.0,6%,Post-IPO,7/20/2023,ISPO
1562,Megaport,50.0,16%,Post-IPO,4/28/2023,92J.F
1217,Salesforce,50.0,,Post-IPO,8/3/2023,CRM
3094,Shopify,50.0,,Post-IPO,7/6/2022,SHOP
3190,Sprinklr,50.0,,Post-IPO,6/25/2022,CXM
2928,RingCentral,50.0,,Post-IPO,8/4/2022,RNG
684,Impinj,50.0,10%,Post-IPO,3/14/2024,PI
1432,Unity,50.0,,Post-IPO,6/8/2023,U
1672,AEye,46.0,33%,Post-IPO,3/29/2023,AEYE
2276,Viant,46.0,13%,Post-IPO,12/21/2022,DSP
1496,Lemonade,45.0,3%,Post-IPO,5/16/2023,LMND
2517,SoundHound,45.0,10%,Post-IPO,11/10/2022,SOUN
879,TomTom,45.0,,Post-IPO,12/19/2023,OEMA.F
367,Velo3D,42.0,,Post-IPO,9/2/2024,VELO
433,Spotify,40.0,,Post-IPO,7/16/2024,SPOT
799,Cloudflare,40.0,,Post-IPO,2/2/2024,NET
1003,Google,40.0,,Post-IPO,10/18/2023,GOOG
685,Riskified,40.0,6%,Post-IPO,2/14/2024,RSKD
2899,Absci,40.0,,Post-IPO,8/9/2022,ABSI
1709,Leafly,40.0,21%,Post-IPO,3/16/2023,LFLY
2206,Twitter,40.0,,Post-IPO,1/6/2023,EBT-USD
2936,Beyond Meat,40.0,4%,Post-IPO,8/4/2022,BYND
1799,EVgo,40.0,,Post-IPO,2/23/2023,EVGO
1685,Wejo,40.0,16%,Post-IPO,3/24/2023,WEJWF
2994,Outbrain,38.0,3%,Post-IPO,7/26/2022,852.BE
818,Rent the Runway,37.0,10%,Post-IPO,1/9/2024,RENT
455,Perion,35.0,5%,Post-IPO,6/26/2024,PERI
507,Satellogic,34.0,13%,Post-IPO,6/18/2024,SATL
